,PublishDate,Tweets,CleanedTweet
0,4/20/20 21:04,"Just across Dutch border, study following 1,000 people in Heinsberg to create plan for how to deal with virus https://www.google.nl/amp/s/amp.theguardian.com/world/2020/mar/31/virologists-to-turn-germany-worst-hit-district-into-coronavirus-laboratory #COVIDー19","['border', 'study', 'people', 'plan', 'deal', 'virus']"
1,4/20/20 21:00,North Carolina's top health official said that the pandemic has resulted in more deaths in the state in less than a month than those the flu has caused since September.,"['health', 'result', 'death', 'state', 'month', 'flu']"
2,4/20/20 21:00,Millions of Americans & their children were left out of the stimulus package because of an immigration technicality. Use this tool to email your member of Congress to support the COVID Immigrant Family Protection Act: https://bit.ly/2VJzNIS #DontLookAway,"['child', 'package', 'immigration', 'technicality', 'use', 'email', 'member', 'support', 'immigrant', 'family', 'protection', 'dontlookaway']"
3,4/20/20 21:00,"All the experts say we need to greatly expand COVID-19 testing capacity to safely re-open America. The White House promised 27 million tests by the end of March. As of last week, only 4 million have been conducted. Where are the tests?","['expert', 'testing', 'capacity', 'promise', 'test', 'end', 'week', 'conduct', 'test']"
4,4/20/20 21:00,WATCH: The 5 teenage girls on this robotics team in Afghanistan are using spare parts from Toyotas to engineer a cheap ventilator device meant to save lives during the #coronavirus pandemic,"['girl', 'team', 'use', 'part', 'ventilator', 'device', 'life']"
5,4/20/20 21:00,"Marketers refining their purpose strategies could be paramount in the months ahead, even as many deal with harsh economic pressures brought on by the pandemic - @PatchAdams03, @marketingdive #branding #pandemic #marketingstrategy","['purpose', 'strategy', 'month', 'deal', 'pressure', 'brand']"
6,4/20/20 20:56,"Disney will start to furlough more than 100,000 employees as a response to the global coronavirus outbreak, according to the Financial Times ","['employee', 'response', 'times']"
7,4/20/20 20:55,"#BREAKING: Gov. @BrianKempGA outlined plans to allow gyms, bowling alleys, salons and other indoor facilities to reopen THIS FRIDAY. Restaurants shuttered amid the #coronavirus pandemic will be able to reopen next week on April 27: https://bit.ly/3aqysvX pic.twitter.com/oHhVa9Mrv6","['plan', 'facility', 'restaurant', 'shutter', 'week']"
8,4/20/20 20:50,#PAYCUTMPS Time for MPs LORDS Civil Servants Do right thing Min 20% PayCut RT @BizforScotland: #Coronavirus – the UK gov must accept that debt forgiveness to small businesses will have to be part of the package… https://twitter.com/i/web/status/1252338767383474177,"['time', 'lords', 'servant', 'thing', 'debt', 'forgiveness', 'business', 'part', 'package']"
9,4/20/20 19:02,We have consistently underfunded our pre-k through college education in New York and this crisis has only made it worse. We need real leadership on this issue. https://www.syracuse.com/coronavirus/2020/04/ny-school-funding-could-drop-by-half-without-coronavirus-money-from-feds-cuomo-says.html #FundSUNYNow #FundEducationNow #supporteducation,"['college', 'education', 'crisis', 'leadership', 'issue', 'supporteducation']"
10,4/20/20 19:02,BEING PREPARED -- @SaraCarterDC comments on lessons learned from #coronavirus... #NextRevFNC,['comment']
11,4/20/20 19:01,"The wood chips required to make sought-after toilet paper and wipes during the coronavirus pandemic are becoming more scarce, @jenskerritt reports","['wood', 'chip', 'toilet', 'paper', 'wipe', 'report']"
12,4/20/20 19:00,".@realDonaldTrump should direct his team to ""model"" death and other health outcomes for Americans denied access to ""elective"" medical care because of shutdown. How about ""models"" on destruction of healthcare jobs? We can't have healthcare without an economy. #coronavirus ","['team', 'death', 'health', 'access', 'care', 'destruction', 'job', 'economy']"
13,4/20/20 19:00,Thank you to the judge and all the others involved with common sense and a healthy dose of empathy. #AbortionIsEssential Judge: Tennessee can't prevent abortions during coronavirus - ABC News - https://abcn.ws/2XMkphp via @ABC,"['sense', 'abortion', 'news']"
14,4/20/20 19:00,"The coronavirus lockdown has reduced traffic in the Venice canals, making it easier for biologists to spot the city's marine life – like this jellyfish – gliding peacefully through the clear water. ","['lockdown', 'traffic', 'spot', 'city', 'life', 'glide', 'water']"
15,4/20/20 18:59,Go To http://TrendsHotSpot.blogspot.com for updates about the #coronavirus,['update']
16,4/20/20 18:58,When Will You Have The Ability To Travel Again? #coronavirus #europe #travel,"['ability', 'travel', 'travel']"
17,4/20/20 18:58,#CoronaVirus #BiggestScamInWorldHistory If they can get away with this then it's all over for everyone @realDonaldTrump @BorisJohnson,[]
18,4/20/20 18:57,Northern migrants should not be able to flood #SouthCarolina coastal towns and then restrict access to the beaches for actual South Carolinians. This #coronavirus panic/overreaction needs to stop. https://www.foxcarolina.com/coronavirus/coastal-cities-say-theyre-restricting-access-after-sc-reps-say-governor-will-re-open-beaches/article_209995c0-81c8-11ea-904a-676cc0750357.html,"['migrant', 'flood', 'town', 'access', 'panic', 'overreaction']"
